 Location_Number,Location_Name,Phone,Physical_Address,Physical_City,Physical_State,Physical_Zip,lat,lng
3007,Salon Funeraire M. John Sullivan Funeral Home,(613) 938-1039,341 Pitt St,Cornwall,ON,K6J3R1,45.020691,-74.7297595
3014,Modest Cremation,(905) 526-9605,615 Main Street East,Hamilton,ON,L8M1J4,43.249514,-79.8456927
3018,Cremation Direct,(877) 988-8188,404-8705 Young Road,Chilliwack,BC,V2P4P3,49.160955,-121.9534795
3072,Modest cremation (Toronto),(905) 889-8889,8088 Yonge Street,Thornhill,ON,L4J1W3,43.8240242,-79.4270041
3073,Bell & Burnaby Funeral Chapel,(604) 298-2525,4276 Hastings Street,Burnaby,BC,V5C2J6,49.2808591,-123.0093718
3078,"Residence Fun&eacute;raire St. Louis, Terrebonne",(450) 471-4092,939 rue St. Louis,Terrebonne,QC,J6W1K1,45.6957893,-73.6401593
3079,"Residence Fun&eacute;raire St. Louis, Mascouche",(450) 471-4092,1284 Chemin St.-Henri,Mascouche,QC,J7K2N4,45.7536403,-73.5983049
3080,Service de Cr&eacute;mation Direct,(514) 817-4848,939 rue St.-Louis,Terrebonne,QC,J6W1K1,45.6957893,-73.6401593
3082,Mourning Glory Funeral Services,(306) 978-5200,1201 8th Street East,Saskatoon,SK,S7H0S5,52.1150481,-106.6410473
3086,Mourning Glory Funeral Services - Windsor Chapel,(306) 664-9336,704 Windsor St.,Saskatoon,SK,S7K0Y9,52.1488019,-106.651486
3090,Cremation Direct,(780) 433-7335,9911 - 62 Avenue NW,Edmonton,AB,T6E0E7,53.4981172,-113.4868216
3093,Paul O'Connor Funeral Home,(416) 751-7890,1939 Lawrence Ave. E,Scarborough,ON,M1R2Y8,43.7441499,-79.2985362
3098,Families First Signature Tributes Event Centre,(519) 419-5660,3310 Dougall Avenue,Windsor,ON,N9E1S6,42.2672752,-83.0089025
3099,Families First Funeral Home and Tribute Centre,(519) 969-5841,3260 Dougall Avenue,Windsor,ON,N9E1S6,42.2675053,-83.0095321
3101,R&eacute;sidences fun&eacute;raires Collins Clarke MacGillvray White Funeral Homes,(514) 483-1870,5610 rue Sherbrooke ouest,Montr&eacute;al,QC,H4A1W5,45.4713218,-73.6136253
3102,R&eacute;sidences fun&eacute;raires Collins Clarke MacGillivray White Funeral Homes,(514) 483-1870,222 Autoroute 20,Pointe-Claire,QC,H9S3X6,45.4394361,-73.8259651
3103,Valleyview Funeral Home,(250) 765-3147,165 Valleyview Road,Kelowna,BC,V1X3M5,49.8879908,-119.3937944
3112,"Maison Funeraire Racine, Robert & Gauthier Beauchamp Funeral Home",(819) 770-1300,271 Boul St-Joseph,Hull,QC,J8Y3Y1,45.4378112,-75.7333793
3113,"Maison Funeraire Racine, Robert & Gauthier Beauchamp Funeral Home",(819) 561-1969,105 Boul Greber,Gatineau,QC,J8T3P9,45.465799,-75.6997963
3114,"Maison Funeraire Racine, Robert & Gauthier Beauchamp Funeral Home",(819) 684-1155,47 Denise Friend,Aylmer,QC,J9H3A8,45.3980785,-75.8480972
3120,Maison fun&eacute;raire Nault & Caron,(418) 542-2626,3970 rue de la Fabrique,Jonqui&egrave;re,QC,G7X3N2,48.4085275,-71.2549021
3121,Cresmount Funeral Home - Fennell Chapel,(905) 387-2111,322 Fennell Ave East,Hamilton,ON,L9A1T2,43.2339911,-79.864596
3122,Markey-Dermody Funeral Home,(905) 547-1121,1774 King Street East,Hamilton,ON,L8K1V7,43.2321216,-79.8119018
3129,Complexe funeraire Berube & fils,(418) 662-6576,620 boul. Dequen Nord,Alma,QC,G8B6R7,48.5612033,-71.6446789
3131,La Maison Darche Services funeraires,(450) 463-1900,505 boul. Cur&eacute; Poirier oust,Longueuil,QC,J4J2H5,45.5242305,-73.4855317
3133,La Maison Darche Services fun&eacute;raires,(450) 463-1900,7679 boul. Taschereau,Brossard,QC,J4Y1A2,45.4562884,-73.4643181
3134,La Maison Darche Services fun&eacute;raires,(450) 463-1900,6500 boul. Cousineau,Saint-Hubert,QC,J3Y8Z4,45.4929648,-73.4037899
3135,La Maison Darche Services fun&eacute;raires,(450) 463-1900,933 boul. P&eacute;rigny,Chambly,QC,J3L5H5,45.4511466,-73.2991465
3136,Salon fun&eacute;raire Henri Gu&eacute;rin,(450) 444-5656,425 Chemin Saint-Jean,La Prairie,QC,J5R2K8,45.4172497,-73.4898664
3137,Hetherington & Deans Funeral Chapel,(905) 354-5614,5176 Victoria Ave,Niagara Falls,ON,L2E4E3,43.0993959,-79.0727587
3139,McEvoy-Shields Funeral Home and Chapel,(613) 737-7900,1411 Hunt Club Road,Ottawa,ON,K1V1A6,45.3559636,-75.6446337
3141,Barthel Funeral Home,(519) 653-3251,566 Queenston Road,Cambridge,ON,N3H3J8,43.3955665,-80.3608842
3146,R&eacute;sidences fun&eacute;raires Gravel & fils,(418) 543-0755,825 rue B&eacute;gin,Chicoutimi,QC,G7H4N7,48.416259,-71.0639859
3150,Woodlawn Mt. Cheam Funeral Home,(604) 793-4555,45865 Hocking Ave,Chilliwack,BC,V2P1B5,49.1591008,-121.9552262
3151,R&eacute;sidences fun&eacute;raires Mongeau,(450) 774-8000,1115 Girouard ouest,St-Hyacinthe,QC,J2S2Y9,45.62738,-72.945345
3152,Kane-Jerrett Funeral Homes,(905) 889-8889,8088 Yonge Street,Thornhill,ON,L4J1W3,43.8240242,-79.4270041
3154,Rose Garden Chapel,(780) 674-4644,5326-48 Street,Barrhead,AB,T7N1A1,54.1242885,-114.4002947
3155,Rosar-Morrison Funeral Home & Chapel,(416) 924-1408,467 Sherbourne Street,Toronto,ON,M4X1K5,43.6666045,-79.3739722
3157,Complexe fun&eacute;raire Sylvio Marceau,(418) 522-5212,224 rue St-Vallier Ouest,Quebec,QC,G1K1K2,46.8120862,-71.2357061
3158,R&eacute;sidences fun&eacute;raires Laurent Th&eacute;riault,(514) 769-3867,510 rue de l &eacute;glise,Verdun,QC,H4G2M4,45.4626781,-73.5705296
3162,Thompson Funeral Home,(905) 727-5421,530 Industrial Parkway South,Aurora,ON,L4G6W8,43.9816211,-79.4621704
3163,Andrews Community Funeral Centre - Bramalea Chapel,(905) 456-8190,8190 Dixie Road,Brampton,ON,L6T5N9,43.7023297,-79.7125993
3174,Hulse & English Funeral Home & Chapel,(905) 684-6346,75 Church Street,St. Catharines,ON,L2R3C7,43.1610771,-79.2464805
3176,Complexe fun&eacute;raire Sylvio Marceau,(418) 627-3493,15015 boul. Henri-Bourassa,Quebec,QC,G1G3Z2,46.8811697,-71.2878027
3177,T.W. Curry Parkview Chapel,(902) 539-3002,755 George Street,Sydney,NS,B1P1L4,46.1323339,-60.1883108
3178,Inverness Funeral Home,(902) 258-2333,45 MacIsaac Street,Inverness,NS,B0E1N0,46.2295646,-61.3033069
3179,Fillmore & Whitman Funeral Home,(902) 736-9700,8 Clyde Avenue,Sydney Mines,NS,B1V2E4,46.2413292,-60.2302242
3180,Patten Funeral Home,(902) 849-7520,71 Union Street,Glace Bay,NS,B1A2P6,46.1952593,-59.9586293
3186,"Truscott, Brown & Dwyer Funeral Chapel",(905) 549-2417,1309 King Street East,Hamilton,ON,L8M1H2,43.2439673,-79.8240496
3189,Centre fun&eacute;raire C&ocirc;te-Des-Neiges Inc.,(514) 342-8000,4525 ch. de la C&ocirc;te-des-Neiges Montreal QC,Montreal,QC,H3V1E7,45.495863,-73.6069922
3190,Needham Funeral Service,(519) 434-9141,520 Dundas Street,London,ON,N6B1W6,42.9881624,-81.2354472
3193,Sydney Crematorium,(902) 539-3002,400 George Street,Sydney,NS,B1P1K3,46.1382083,-60.1927831
3194,First Memorial Funeral Services Burkeview Chapel,(604) 944-4128,1340 Dominion Ave,Port Coquitlam,BC,V3B8G7,49.2579626,-122.750822
3198,Salons fun&eacute;raires Maher Funeral Homes,(506) 789-1699,33 rue Lansdowne Street West,Campbellton,NB,E3N2L7,48.0024244,-66.6776887
3199,"Maison Funeraire Racine, Robert & Gauthier Funeral Home",(613) 241-3680,180 Montreal Road,Ottawa,ON,K1L1B4,45.4349049,-75.664076
3229,Families First Funeral Home and Tribute Centre,(519) 969-5841,585 Sandwich Street S.,Amherstburg,ON,N9V0E2,42.0907906,-83.1070385
3237,Families First Funeral Home and Tribute Centre,(519) 969-5841,2130 Front Road,LaSalle,ON,N9J2B9,42.2284851,-83.1027297
3417,Merritt Funeral Chapel,(250) 378-2141,2113 Granite Avenue PO Box 99,Merritt,BC,V1K1B8,50.1105702,-120.7862342
3418,Schoening Funeral Service,(250) 374-1454,513 Seymour Street,Kamloops,BC,V2C2G8,50.6746913,-120.3291915
3419,First Memorial Funeral Services Kamloops,(250) 554-2429,348 - B Tranquille Road,Kamloops,BC,V2B3G6,50.688704,-120.3574979
3600,Foster's Garden Chapel Funeral Home & Crematorium,(403) 297-0888,3220 - 4 Street NW,Calgary,AB,T2M3A5,51.0809794,-114.0710423
3605,Forest Lawn Funeral Home,(604) 299-7720,3789 Royal Oak Ave,Burnaby,BC,V5G3M1,49.2456354,-122.9926093
3606,Mount Pleasant Universal Funeral Home,(604) 876-2161,306 East 11th Ave,Vancouver,BC,V5T2C6,49.2607988,-123.09801
3608,R&eacute;sidences fun&eacute;raires Collins Clarke MacGillvray White Funeral Homes,(514) 483-1870,307 Promenade Riverside,St-Lambert,QC,J4P1A7,45.5021787,-73.5161585
3620,First Memorial Funeral Services - Fairview Chapel,(613) 860-2424,259 Rue St-Patrick Street,Ottawa,ON,K1N5K4,45.4312777,-75.6925182
3640,Woodlawn Funeral Home,(604) 853-2643,2310 Clearbrook Road,Abbotsford,BC,V2T2X5,49.044151,-122.3364419
3641,Woodlawn Mission Funeral Home,(604) 826-9548,7386 Horne Street,Mission,BC,V2V3Y7,49.1359387,-122.3019708
3644,Ocean View Funeral Home,(604) 435-6688,4000 Imperial Street,Burnaby,BC,V5J1A4,49.2210703,-123.0165097
3645,Hainstock's Funeral Home & Crematorium,(780) 440-2999,9810- 34th Ave,Edmonton,AB,T6E6L1,53.4681618,-113.4828551
3647,Parkland Funeral Services,(780) 963-2520,3502 44th Ave,Stony Plain,AB,T7Z1L1,53.5380489,-113.9798796
3648,First Memorial Funeral Services - Riverview Chapel,(780) 998-9898,11090 86 Ave,Fort Saskatchewan,AB,T8L4K6,53.7024617,-113.1965488
3649,Hainstock & Son Funeral Chapel,(780) 986-2151,4802 47th Ave,Leduc,AB,T9E5X7,53.2626573,-113.5481447
3681,South Calgary Funeral Centre and Crematorium,(403) 297-0711,12700 Macleod Trail South,Calgary,AB,T2J7E5,50.937589,-114.0678942
3687,Thorpe Brothers Funeral Home & Chapel,(519) 759-2211,96 West Street,Brantford,ON,N3T3E7,43.1430453,-80.2675443
3688,Westmount Memorial Celebration Centre,(519) 743-8900,1001 Ottawa Street South,Kitchener,ON,N2E2X5,43.4200782,-80.5011072
3707,Courtice Funeral Chapel,(905) 432-8484,1587 Highway #2,Courtice,ON,L1E2R7,43.9091271,-78.7950447
3721,Memories Funeral Home,(780) 454-9111,13403 St Albert Trail,Edmonton,AB,T5L4X1,53.5956807,-113.5701663
3729,Sutton's Campbell River Funeral Home,(250) 287-4812,502 South Dogwood Street,Campbell River,BC,V9W6R4,49.9981655,-125.2479604
3730,Henderson's Funeral Homes & Crematorium,(604) 792-1344,45901 Victoria Ave,Chilliwack,BC,V2P2S9,49.1730917,-121.9541699
3732,Piercy's-Mt. Washington Funeral Home,(250) 334-4464,440 England Ave,Courtenay,BC,V9N2N1,49.6910815,-125.0001703
3735,Chapel of Memories Funeral Directors,(250) 723-3633,4005 Sixth Ave,Port Alberni,BC,V9Y4M6,49.2491383,-124.8029751
3736,Assman's Funeral Chapel,(250) 564-4431,1908 Queensway Street,Prince George,BC,V2L1M2,53.9062354,-122.7417774
3737,Fraserview Crematorium,(250) 562-4881,3355 Memorial Park Lane,Prince George,BC,V2N0B5,53.8870417,-122.765473
3738,First Memorial Funeral Services Lakewood Chapel,(250) 562-5915,1055 Ospika Blvd,Prince George,BC,V2M3R7,53.9146426,-122.7974096
3739,Vernon Funeral Home,(250) 542-0155,3007 28th Street,Vernon,BC,V1T4Z7,50.2643907,-119.2674831
3740,Pleasant Valley Funeral Home,(250) 542-4333,4303 Pleasant Valley Road,Vernon,BC,V1T4M4,50.2750717,-119.2510699
3741,People's Memorial Society,(250) 542-0155,2805-44 Ave,Vernon,BC,V1T7P4,50.2763884,-119.2690819
3743,Henderson's Fraser Valley Funeral Home,(604) 854-5534,34537 Marshall Road,Abbotsford,BC,V2S1M1,49.0385403,-122.2679588
3744,Henderson's Langley Funeral Home,(604) 530-6488,20786 Fraser Highway,Langley,BC,V3A4G6,49.1020616,-122.6472584
3745,Victory Memorial Park Funeral Centre,(604) 536-6522,14831 28th Ave,Surrey,BC,V4P1P3,49.0536627,-122.8112007
3746,Glenhaven Memorial Chapel,(604) 255-5444,1835 E Hastings St,Vancouver,BC,V5L1T3,49.2815504,-123.0671556
3747,Hamilton Harron Funeral Home,(604) 325-7441,5390 Fraser Street,Vancouver,BC,V5W2Z1,49.2358951,-123.090074
3748,Vancouver Memorial Services and Crematorium,(604) 325-8251,5505 Fraser Street,Vancouver,BC,V5W2Z3,49.2337362,-123.0921668
3749,Hollyburn Funeral Home,(604) 922-1221,1807 Marine Drive,West Vancouver,BC,V7V1J7,49.329023,-123.1625259
3751,Thomson Funeral Home,(204) 783-7211,669 Broadway,Winnipeg,MB,R3C0X4,49.8860596,-97.1582235
3752,Klassen Funeral Home,(204) 338-0331,1897 Henderson Highway,Winnipeg,MB,R2G1P4,49.9553632,-97.0735161
3753,Green Acres Funeral Home and Cemetery,(204) 222-3241,1 Green Acres Lane,Navin,MB,R5T0H2,49.8437392,-96.9884872
3754,Thomson In the Park Funeral Home and Cemetery,(204) 925-1120,1291 McGillivray Blvd,Winnipeg,MB,R3T5Y4,49.8392437,-97.1643653
3756,A.L. Mattatall Funeral Home,(902) 461-0700,217 Portland Street,Dartmouth,NS,B2Y1J5,44.6682707,-63.5614497
3757,Jayne's Funeral Home,(902) 245-2525,15 Birch Street,Digby,NS,B0V1A0,44.6274036,-65.7573003
3758,Cruikshank's Halifax Funeral Home,(902) 423-7295,2666 Windsor Street,Halifax,NS,B3K5C9,44.6526099,-63.5998151
3761,Jayne's Funeral Home,(902) 245-2525,Highway No 1,Weymouth,NS,B0W3T0,44.4084745,-65.9960638
3762,Coutts Funeral Home & Cremation Centre,(519) 621-1650,96 St Andrews Street,Cambridge,ON,N1S1M8,43.3540006,-80.3229209
3763,T. Little Funeral Home & Cremation Centre,(519) 623-1290,223 Main Street,Cambridge,ON,N1R1X2,43.3561349,-80.3041179
3764,"Marlatt Funeral Home, Swackhamer Chapel",(905) 627-7452,195 King Street West,Dundas,ON,L9H1V5,43.267658,-79.9618924
3765,Marlatt Funeral Home & Cremation Centre,(905) 528-6303,615 Main Street East,Hamilton,ON,L8M1J4,43.249514,-79.8456927
3768,COMSTOCK-KAYE Life Celebration Centre,(705) 745-4683,356 Rubidge Street,Peterborough,ON,K9H4C7,44.3041128,-78.3263018
3769,Green Visitation Centre-Atikokan,(807) 274-3274,221 Marks Street,Atikokan,ON,P0T1C0,48.7586706,-91.62439
3771,Green Funeral Home,(807) 274-3274,600 Reid Ave,Fort Frances,ON,P9A2P3,48.6112526,-93.3791376
3772,Brown Funeral Home & Cremation Centre,(807) 468-8633,429 2nd Street South,Kenora,ON,P9N1G7,49.765003,-94.4855146
3773,Delmoro Funeral Home,(416) 249-4499,61 Beverly Hills Drive,Toronto,ON,M3L1A2,43.7178791,-79.5126101
3774,Oshawa Funeral Home,(905) 721-1234,847 King Street West,Oshawa,ON,L1J2L4,43.8897186,-78.8953162
3776,Arthur Funeral Home - Barton & Kiteley Chapel,(705) 759-2522,492 Wellington Street East,Sault Ste. Marie,ON,P6A2L9,46.5121703,-84.3283422
3778,Giffen-Mack Funeral Home & Cremation Centre,(416) 698-3121,2570 Danforth Ave,Toronto,ON,M4C1L3,43.6884734,-79.301334
3779,Trull Funeral Home & Cremation Centre,(416) 465-4661,1111 Danforth Ave,Toronto,ON,M4J1M5,43.6808124,-79.3342777
3781,Giffen-Mack Funeral Home & Cremation Centre,(416) 281-6800,4115 Lawrence Ave East,West Hill,ON,M1E2S2,43.7662294,-79.1938906
3782,Anderson Funeral Home & Cremation Centre,(519) 254-3223,895 Ouellette Ave,Windsor,ON,N9A4J5,42.3104022,-83.0350887
3783,Walter D. Kelly Life Celebration Centre,(519) 252-5711,1969 Wyandotte Street East,Windsor,ON,N8Y1E5,42.3227104,-83.0120924
3786,Les Salons Funeraires Guay Inc.,(819) 686-2271,495 Rue Boileau,Rivi&egrave;re-Rouge,QC,J0T1T0,46.4133806,-74.8723789
3787,Les Salons Funeraires Guay Inc.,(819) 686-2271,974 rue Van Chesteing,Mont-Tremblant,QC,J8E3H7,46.1212891,-74.5946965
3789,Les Salons Funeraires Guay Inc.,(514) 871-2020,156 rue Notre-Dame,Oka,QC,J0N1E0,45.4608725,-74.0877445
3790,Les Salons Funeraires Guay Inc.,(450) 229-3280,955 rue Grignon,Ste-Ad&egrave;le,QC,J8B2R7,45.9467207,-74.1379236
3791,Les Salons Funeraires Guay Inc.,(514) 871-2020,7020 boul. des Milles-îles,Laval,QC,H7A4B3,45.6917375,-73.6190362
3792,Les Salons Funeraires Guay Inc.,(514) 871-2020,384 rue du Village,Repentigny,QC,J5Z1S3,45.7508535,-73.4701826
3793,Les Salons Funeraires Guay Inc.,(514) 871-2020,5 rue Leblanc,L &eacute;piphanie,QC,J5X3Y5,45.8468239,-73.4847029
3794,Les Salons Funeraires Guay Inc.,(514) 871-2020,850 Mont&eacute;e Masson,Mascouche,QC,J7K2L7,45.7431229,-73.6098088
3795,Les Salons Funeraires Guay Inc.,(514) 871-2020,17745 rue Victor,Mirabel,QC,J7J1L4,45.7030156,-73.9308824
3796,Les Salons Funeraires Guay Inc.,(514) 871-2020,418 boul. Labelle,Rosem&egrave;re,QC,J7A3R8,45.6340686,-73.8184489
3797,Les Salons Funeraires Guay Inc.,(514) 871-2020,146 rue St-Louis,St-Eustache,QC,J7R1Y2,45.5580834,-73.8892053
3799,Ross Funeral Service,(306) 642-3373,123 4th Avenue East PO Box 426,Assiniboia,SK,S0H0B0,49.6310795,-105.9907045
3801,First Memorial Funeral Services,(604) 980-3451,1505 Lillooet Road,North Vancouver,BC,V7J2J1,49.3209162,-123.0223802
3807,First Memorial Funeral Services,(604) 857-0111,27555 31 Ave,Aldergrove,BC,V4W3L4,49.0589375,-122.46108
3808,First Memorial Funeral Services,(250) 762-2299,1211 Sutherland Ave,Kelowna,BC,V1Y5Y2,49.879946,-119.4739682
3809,First Memorial Funeral Services,(250) 754-8333,1720 Bowen Road,Nanaimo,BC,V9S1G9,49.1817262,-123.9790897
3810,First Memorial Funeral Services,(250) 748-2134,375 Brae Road,Duncan,BC,V9L3T9,48.7785379,-123.7050173
3811,First Memorial Funeral Services,(250) 658-5244,4725 Falaise Drive,Victoria,BC,V8Y1B4,48.5046138,-123.3839471
3812,First Memorial Funeral Services,(250) 384-5512,1155 Fort Street,Victoria,BC,V8V3K9,48.4228964,-123.3518867
3813,First Memorial Funeral Services Fraser Heights Chapel,(604) 589-2559,14835 Fraser Highway,Surrey,BC,V3R3N6,49.1704569,-122.8115226
3816,Maison fun&eacute;raire Nault & Caron,(418) 542-2626,2295 rue Saint-Jean-Baptiste,Jonqui&egrave;re,QC,G8A1W3,48.4122326,-71.2611964
3817,Maison fun&eacute;raire Nault & Caron,(418) 542-2626,2770 rue de la Salle,Jonqui&egrave;re,QC,G7S2A4,48.4221145,-71.1768991
3818,Maison fun&eacute;raire Nault & Caron,(418) 542-2626,2033 rue Sainte-Famille,Jonqui&egrave;re,QC,G7X4X5,48.4257923,-71.2384879
3825,R&eacute;sidences fun&eacute;raires Gravel & fils,(418) 543-0755,873 rue de la Fabrique,La Baie,QC,G7B2S7,48.3402504,-70.8805702
3826,R&eacute;sidences fun&eacute;raires Gravel & fils,(418) 543-0755,304 rue Racine Est,Chicoutimi,QC,G7H1S6,48.4274006,-71.0590408
3832,R&eacute;sidences fun&eacute;raires Mongeau,(450) 774-8000,244 rue St-Paul,St-Pie,QC,J0H1W0,45.502612,-72.908036
3834,Complexe fun&eacute;raire Sylvio Marceau,(418) 522-5212,1460 rue Notre-Dame,l Ancienne-Lorette,QC,G2E3A7,46.7961722,-71.3571179
3841,Fillmore & Whitman Funeral Home,(902) 736-9700,36205 Cabot Trail,Ingonish,NS,B0C1K0,46.6911119,-60.379459
3842,Salons fun&eacute;raires Maher Funeral Homes,(506) 684-2390,421 rue Victoria Street,Dalhousie,NB,E8C2V2,48.0642715,-66.376983
3843,Salons fun&eacute;raires Maher Funeral Homes,(506) 826-3847,517 ave des Pionniers,Balmoral,NB,E8E1B3,47.9839899,-66.4072959
3844,Salons fun&eacute;raires Maher Funeral Homes,(506) 789-1699,1258 Chemin Val D'Amour Rd.,Val D'Amour,NB,E3N5M5,47.9551569,-66.6826482
3845,Salons fun&eacute;raires Maher Chapel,(506) 789-1699,64 Rue Landsdowne Street West,Campbelton,NB,E3N3G4,48.0018491,-66.6782413
3851,Orsted-Carlyle Funeral Home,(306) 453-2400,302 Railway  West,Carlyle,SK,S0C0R0,49.6360284,-102.2691746
3853,Lee Funeral Home and Crematorium,(306) 723-4333,105 Stanley Street,Cupar,SK,S0G0Y0,50.9447895,-104.2109596
3857,Sallows and McDonald - Wilson and Zehner Funeral Home,(306) 445-2418,1271 103 Street,North Battleford,SK,S9A1K7,52.7760689,-108.2950413
3860,FLETCHER FUNERAL CHAPEL & CREMATION SERVICES,(306) 842-5432,334 Main Street,Radville,SK,S0C2G0,49.457459,-104.305235
3861,Lee Funeral Home and Crematorium,(306) 757-8645,3101 Dewdney Ave,Regina,SK,S4T0Y5,50.4547814,-104.6256653
3862,Victoria Avenue Funeral Home and Cremation Centre,(306) 761-2727,2080  Victoria Ave E,Regina,SK,S4N7B9,50.4478823,-104.5531128
3865,Mourning Glory Funeral Services - Acadia Mckague's Chapel,(306) 955-1600,915 Acadia Drive,Saskatoon,SK,S7H5N4,52.1155058,-106.598425
3867,FLETCHER FUNERAL CHAPEL & CREMATION SERVICES,(306) 842-5432,237 - 4th Street North East,Weyburn,SK,S4H0Y4,49.6645496,-103.8519655
3875,Harbourside  Crematorium,(902) 293-2807,2632 King Street,Halifax,NS,B3K4T8,44.6544919,-63.5964183
3890,Tubman Funeral Home,(306) 332-4308,224 Company Ave,Fort Qu'appelle,SK,S0G1S0,50.7675567,-103.7966885
3891,Tubman Funeral Home,(306) 695-3731,1005 Boyle Street,Indian Head,SK,S0G2K0,50.5372601,-103.6768591
3892,Tubman Funeral Home,(306) 736-2235,416 Main Street,Kipling,SK,S0G2S0,50.1020138,-102.6289409
3893,Tubman Funeral Home/Valley Crematorium,(306) 698-2557,210 Claude Street,Wolseley,SK,S0G5H0,50.4242748,-103.2725834
5467,Residences funeraires T. Sansregret,(514) 527-4126,"3198 rue Ontario, est",Montreal,QC,H1W1P2,45.5407482,-73.5470652
5468,Residences funeraires T. Sansregret,(514) 527-4126,4419 rue Beaubien est,Montreal,QC,H1T1T2,45.5659003,-73.5771177
